neighbourhood_group,neighbourhood,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,has_review,price
Manhattan,Midtown,Private room,3,10,0.38,1,0,1,130
Brooklyn,Bedford-Stuyvesant,Private room,1,0,,3,364,0,55
Manhattan,Upper East Side,Private room,1,2,0.04,2,0,1,80
Manhattan,Upper West Side,Private room,90,0,,1,193,0,55
Manhattan,Morningside Heights,Entire home/apt,7,23,0.95,1,48,1,130
Queens,Woodhaven,Private room,3,69,2.08,1,283,1,43
Brooklyn,Williamsburg,Private room,1,2,0.65,1,0,1,80
Manhattan,Chelsea,Entire home/apt,30,0,,65,364,0,210
Bronx,Fordham,Entire home/apt,2,9,4.82,1,48,1,92
Brooklyn,Bedford-Stuyvesant,Private room,2,40,3.79,1,13,1,53
Queens,Middle Village,Entire home/apt,4,93,2.22,4,306,1,125
Manhattan,Midtown,Private room,3,67,1.64,1,265,1,195
Queens,Far Rockaway,Private room,1,2,0.38,4,362,1,85
Brooklyn,Kensington,Entire home/apt,4,1,0.02,1,0,1,150
Manhattan,East Harlem,Entire home/apt,1,1,0.03,1,0,1,179
Manhattan,Upper East Side,Entire home/apt,31,7,0.96,33,338,1,150
Manhattan,Washington Heights,Private room,2,7,2.19,1,14,1,69
Bronx,Fordham,Private room,3,0,,10,69,0,79
Brooklyn,Williamsburg,Entire home/apt,1,2,0.04,1,0,1,99
Manhattan,Kips Bay,Entire home/apt,3,134,1.56,1,236,1,135
Brooklyn,Flatbush,Shared room,1,1,0.03,1,0,1,85
Manhattan,Chinatown,Entire home/apt,4,3,2.73,1,57,1,400
Manhattan,Two Bridges,Private room,3,17,1.31,2,86,1,119
Manhattan,East Harlem,Private room,4,0,,1,45,0,82
Queens,Jackson Heights,Private room,1,70,1.82,4,345,1,50
Brooklyn,Crown Heights,Private room,1,0,,1,0,0,75
Manhattan,Financial District,Entire home/apt,7,32,1.17,1,272,1,110
Staten Island,Concord,Private room,4,16,1.3,7,334,1,30
Queens,Astoria,Entire home/apt,3,0,,1,220,0,150
Manhattan,Roosevelt Island,Private room,2,1,0.03,1,0,1,60
Brooklyn,Crown Heights,Private room,5,2,0.48,1,15,1,48
Brooklyn,Williamsburg,Entire home/apt,2,1,0.02,1,0,1,250
Manhattan,East Village,Entire home/apt,2,8,0.32,3,264,1,250
Brooklyn,Flatbush,Private room,2,32,0.68,1,82,1,40
Manhattan,Nolita,Entire home/apt,5,5,0.06,1,0,1,150
Brooklyn,Prospect-Lefferts Gardens,Private room,2,9,0.22,1,0,1,40
Manhattan,Hell's Kitchen,Entire home/apt,2,21,2.78,1,5,1,135
Queens,Ridgewood,Private room,1,1,0.68,1,0,1,70
Brooklyn,Sheepshead Bay,Shared room,1,116,2.55,5,351,1,35
Brooklyn,Bushwick,Private room,6,1,0.02,1,0,1,85
Manhattan,Upper West Side,Private room,3,3,2.05,1,2,1,45
Brooklyn,Park Slope,Entire home/apt,1,323,5.81,1,211,1,160
Brooklyn,Williamsburg,Entire home/apt,3,6,0.18,1,114,1,250
Brooklyn,Bedford-Stuyvesant,Shared room,1,2,0.75,17,49,1,35
Manhattan,Harlem,Private room,12,4,0.1,1,0,1,95
Queens,Flushing,Private room,2,29,1.4,4,314,1,40
Brooklyn,Flatbush,Private room,30,3,0.28,1,0,1,48
Manhattan,Hell's Kitchen,Entire home/apt,30,1,0.04,121,365,1,239
Brooklyn,Bushwick,Entire home/apt,6,0,,1,85,0,199
Brooklyn,Bedford-Stuyvesant,Entire home/apt,3,1,1.0,1,0,1,125
Manhattan,Nolita,Private room,7,11,0.22,2,0,1,100
Queens,Long Island City,Private room,4,0,,1,0,0,150
Bronx,North Riverdale,Private room,1,1,1.0,3,174,1,40
Brooklyn,East New York,Entire home/apt,1,33,7.56,2,15,1,106
Manhattan,East Village,Entire home/apt,2,1,0.57,1,0,1,255
Manhattan,Theater District,Entire home/apt,30,7,0.19,96,311,1,285
Brooklyn,Bedford-Stuyvesant,Entire home/apt,5,3,2.09,2,120,1,95
Manhattan,Harlem,Entire home/apt,1,0,,1,0,0,115
Manhattan,Chinatown,Entire home/apt,30,48,1.83,2,341,1,250
Queens,Ditmars Steinway,Private room,7,4,0.1,8,309,1,49
Manhattan,Upper East Side,Private room,1,27,0.88,2,0,1,60
Manhattan,Gramercy,Private room,1,0,,1,0,0,79
Manhattan,East Village,Entire home/apt,4,3,0.1,1,0,1,180
Manhattan,Harlem,Private room,14,66,1.12,1,17,1,55
Queens,Flushing,Private room,3,20,0.97,3,88,1,58
Brooklyn,Bedford-Stuyvesant,Private room,1,3,1.58,2,0,1,45
Manhattan,Upper West Side,Entire home/apt,2,117,3.24,1,34,1,200
Manhattan,Harlem,Entire home/apt,2,24,2.57,1,8,1,100
Brooklyn,Crown Heights,Private room,2,2,2.0,1,89,1,75
Brooklyn,Bedford-Stuyvesant,Entire home/apt,2,309,2.86,2,3,1,135
Manhattan,Chelsea,Private room,3,12,1.43,2,30,1,65
Brooklyn,Bushwick,Private room,17,2,0.78,1,21,1,62
Queens,Jackson Heights,Private room,2,5,1.06,1,157,1,80
Manhattan,Gramercy,Entire home/apt,3,0,,1,4,0,180
Queens,Middle Village,Private room,2,6,0.62,1,156,1,70
Manhattan,Chinatown,Entire home/apt,2,11,0.27,1,0,1,125
Manhattan,Morningside Heights,Entire home/apt,2,6,0.27,2,0,1,220
Manhattan,Upper East Side,Entire home/apt,7,0,,1,0,0,345
Brooklyn,South Slope,Entire home/apt,1,2,0.07,2,0,1,175
Brooklyn,Greenpoint,Private room,4,0,,1,267,0,150
Queens,Springfield Gardens,Private room,1,1,1.0,1,89,1,70
Brooklyn,Carroll Gardens,Entire home/apt,6,1,0.41,3,7,1,375
Manhattan,Midtown,Entire home/apt,30,0,,14,365,0,190
Brooklyn,Cobble Hill,Entire home/apt,4,16,0.3,1,0,1,160
Manhattan,East Village,Entire home/apt,1,96,1.31,1,324,1,129
Manhattan,Midtown,Entire home/apt,30,0,,96,342,0,175
Manhattan,Inwood,Private room,4,26,0.78,1,238,1,79
Manhattan,Harlem,Private room,3,145,1.97,1,211,1,50
Manhattan,Midtown,Entire home/apt,1,7,1.1,1,0,1,375
Brooklyn,Carroll Gardens,Private room,1,5,0.13,1,0,1,90
Brooklyn,Brighton Beach,Entire home/apt,1,0,,2,136,0,119
Brooklyn,Bedford-Stuyvesant,Private room,5,1,0.09,1,0,1,40
Manhattan,Harlem,Private room,3,3,0.09,2,0,1,70
Manhattan,East Harlem,Entire home/apt,2,3,0.22,1,1,1,115
Manhattan,Upper East Side,Private room,2,8,0.68,1,0,1,82
Brooklyn,Bushwick,Private room,3,4,0.39,2,0,1,55
Manhattan,Upper West Side,Private room,1,2,0.04,1,0,1,65
Manhattan,East Harlem,Private room,2,27,3.91,2,33,1,95
Brooklyn,Greenpoint,Private room,1,0,,33,365,0,119
Manhattan,Upper East Side,Entire home/apt,7,2,0.05,1,0,1,140
Manhattan,Chelsea,Private room,45,0,,1,83,0,165
Brooklyn,Bushwick,Private room,1,14,1.44,1,48,1,75
Brooklyn,Williamsburg,Entire home/apt,4,7,0.23,1,0,1,195
Manhattan,Upper West Side,Entire home/apt,4,0,,1,30,0,170
Brooklyn,Bushwick,Entire home/apt,90,2,0.08,1,34,1,115
Brooklyn,Park Slope,Entire home/apt,4,58,1.38,1,132,1,163
Manhattan,Greenwich Village,Entire home/apt,2,25,1.78,1,64,1,175
Queens,Fresh Meadows,Private room,2,0,,1,0,0,75
Manhattan,East Village,Private room,4,3,0.08,1,0,1,95
Manhattan,Murray Hill,Private room,7,0,,1,0,0,80
Manhattan,Hell's Kitchen,Entire home/apt,2,6,0.16,1,0,1,100
Brooklyn,Clinton Hill,Private room,1,17,1.51,2,179,1,175
Brooklyn,Fort Greene,Private room,2,57,2.67,2,288,1,115
Brooklyn,Bushwick,Private room,1,26,9.4,2,74,1,50
Manhattan,Upper West Side,Private room,1,0,,1,0,0,92
Brooklyn,Brooklyn Heights,Entire home/apt,7,1,0.16,1,5,1,140
Brooklyn,Williamsburg,Entire home/apt,2,94,2.99,1,78,1,170
Brooklyn,Williamsburg,Private room,3,2,0.31,1,0,1,72
Brooklyn,Bedford-Stuyvesant,Private room,3,7,0.69,1,13,1,40
Bronx,Tremont,Entire home/apt,1,0,,1,0,0,68
Brooklyn,Greenpoint,Private room,5,35,0.44,3,1,1,52
Manhattan,Harlem,Private room,1,1,0.01,1,365,1,85
Brooklyn,Crown Heights,Private room,3,29,0.84,2,365,1,67
Brooklyn,Bedford-Stuyvesant,Entire home/apt,1,11,2.13,9,118,1,145
Brooklyn,Williamsburg,Entire home/apt,7,0,,1,0,0,259
Brooklyn,Bedford-Stuyvesant,Private room,2,9,0.71,1,0,1,80
Manhattan,Upper East Side,Private room,30,1,0.05,9,321,1,55
Manhattan,Theater District,Entire home/apt,30,0,,232,266,0,347
Brooklyn,Greenpoint,Entire home/apt,2,5,0.1,1,0,1,125
Manhattan,Hell's Kitchen,Private room,2,48,2.36,4,74,1,125
Manhattan,Washington Heights,Private room,1,0,,1,39,0,84
Brooklyn,Flatbush,Entire home/apt,3,4,0.69,1,115,1,75
Manhattan,Upper East Side,Entire home/apt,1,72,3.65,1,52,1,378
Brooklyn,Bedford-Stuyvesant,Private room,7,1,0.05,1,0,1,41
Brooklyn,Williamsburg,Private room,3,28,0.65,2,0,1,90
Bronx,Highbridge,Private room,3,14,0.39,1,42,1,22
Queens,Corona,Private room,1,4,0.2,1,95,1,50
Queens,Queens Village,Private room,1,5,0.07,1,363,1,80
Brooklyn,Williamsburg,Private room,1,32,3.19,1,30,1,78
Manhattan,Washington Heights,Entire home/apt,6,5,0.08,1,0,1,130
Manhattan,Lower East Side,Private room,1,1,0.02,1,0,1,75
Brooklyn,South Slope,Entire home/apt,9,2,0.04,2,1,1,295
Brooklyn,Kensington,Private room,7,0,,2,225,0,54
Brooklyn,Bedford-Stuyvesant,Entire home/apt,3,155,2.39,1,18,1,120
Brooklyn,Carroll Gardens,Entire home/apt,3,5,0.63,1,0,1,50
Manhattan,Financial District,Entire home/apt,29,0,,327,326,0,100
Queens,Ridgewood,Entire home/apt,5,25,0.4,1,0,1,95
Brooklyn,Bushwick,Private room,1,142,2.12,3,329,1,69
Manhattan,Greenwich Village,Private room,1,0,,1,0,0,100
Manhattan,East Harlem,Private room,2,97,2.03,5,22,1,80
Manhattan,Upper East Side,Private room,1,1,1.0,2,358,1,120
Brooklyn,Bedford-Stuyvesant,Entire home/apt,4,106,2.23,1,282,1,135
Manhattan,Chelsea,Private room,2,0,,2,0,0,350
Manhattan,Upper East Side,Entire home/apt,2,2,2.0,1,37,1,145
Brooklyn,Park Slope,Private room,1,184,3.86,4,0,1,139
Brooklyn,Prospect-Lefferts Gardens,Private room,1,401,6.62,2,43,1,43
Manhattan,Hell's Kitchen,Entire home/apt,3,2,2.0,1,219,1,125
Queens,Sunnyside,Private room,3,2,0.15,1,0,1,31
Brooklyn,Sunset Park,Entire home/apt,3,2,0.08,1,0,1,75
Manhattan,Harlem,Private room,3,380,3.83,2,247,1,60
Manhattan,Hell's Kitchen,Private room,2,19,1.8,47,331,1,62
Brooklyn,Williamsburg,Private room,2,106,2.29,8,104,1,60
Brooklyn,Williamsburg,Entire home/apt,2,19,0.42,1,0,1,150
Brooklyn,Park Slope,Entire home/apt,3,6,0.16,1,12,1,270
Manhattan,Upper West Side,Entire home/apt,3,0,,1,150,0,208
Brooklyn,Williamsburg,Entire home/apt,2,92,5.47,1,96,1,175
Manhattan,East Village,Private room,2,11,0.29,4,0,1,100
Manhattan,Upper West Side,Entire home/apt,2,2,0.04,1,0,1,140
Manhattan,Murray Hill,Entire home/apt,2,5,1.17,327,76,1,316
Brooklyn,Bushwick,Private room,1,158,4.93,2,201,1,45
Manhattan,East Harlem,Private room,3,0,,1,41,0,50
Brooklyn,Bushwick,Private room,30,0,,103,269,0,40
Queens,Corona,Shared room,1,16,0.7,6,365,1,45
Bronx,Pelham Gardens,Entire home/apt,1,4,2.07,1,78,1,150
Manhattan,Washington Heights,Private room,7,1,0.16,2,125,1,55
Manhattan,SoHo,Entire home/apt,4,8,0.16,1,52,1,245
Brooklyn,Bushwick,Private room,1,3,3.0,2,178,1,60
Brooklyn,Windsor Terrace,Entire home/apt,5,83,1.63,1,52,1,128
Brooklyn,Williamsburg,Private room,2,68,3.67,4,279,1,55
Brooklyn,Bedford-Stuyvesant,Entire home/apt,4,76,1.78,2,274,1,150
Brooklyn,Bushwick,Private room,1,12,5.9,1,27,1,60
Brooklyn,Williamsburg,Shared room,2,8,0.48,2,0,1,26
Manhattan,Upper West Side,Entire home/apt,5,25,0.54,2,70,1,165
Brooklyn,Flatbush,Entire home/apt,2,9,1.79,1,0,1,95
Manhattan,Hell's Kitchen,Entire home/apt,30,6,0.16,96,255,1,180
Manhattan,Upper East Side,Entire home/apt,30,1,0.23,232,201,1,211
Brooklyn,Crown Heights,Private room,1,5,0.26,1,0,1,43
Manhattan,Harlem,Entire home/apt,8,8,0.11,1,0,1,100
Brooklyn,Bushwick,Private room,5,8,2.09,2,100,1,65
Brooklyn,Williamsburg,Entire home/apt,3,1,0.81,1,74,1,150
Queens,Ridgewood,Private room,2,1,1.0,1,133,1,45
Manhattan,Upper East Side,Entire home/apt,2,4,0.49,1,0,1,166
Queens,Forest Hills,Shared room,2,20,2.4,5,230,1,40
Manhattan,Financial District,Entire home/apt,3,0,,1,107,0,155
Manhattan,Hell's Kitchen,Entire home/apt,2,85,3.43,1,0,1,175
Brooklyn,Williamsburg,Private room,47,7,0.16,1,0,1,44
Brooklyn,Flatbush,Entire home/apt,90,0,,1,95,0,80
Brooklyn,Greenpoint,Private room,6,0,,1,0,0,60
Brooklyn,Williamsburg,Entire home/apt,2,6,0.84,1,16,1,220
Manhattan,Midtown,Private room,3,9,0.23,1,88,1,325
Bronx,Mount Hope,Entire home/apt,3,7,1.74,1,358,1,148
Brooklyn,Sunset Park,Private room,1,51,0.88,5,273,1,39
Manhattan,Chelsea,Entire home/apt,2,2,0.05,1,0,1,200
Brooklyn,Williamsburg,Private room,3,4,0.16,1,0,1,68
Manhattan,East Village,Private room,3,81,0.85,2,274,1,110
Brooklyn,Flatlands,Private room,2,4,0.17,1,4,1,46
Manhattan,East Village,Private room,2,2,0.04,2,0,1,95
Manhattan,Harlem,Private room,3,14,0.42,1,121,1,125
Manhattan,Nolita,Entire home/apt,2,94,1.98,2,272,1,295
Staten Island,South Beach,Shared room,4,1,0.06,1,0,1,20
Manhattan,Hell's Kitchen,Private room,1,200,4.07,11,240,1,155
Brooklyn,Bushwick,Private room,1,0,,1,0,0,50
Manhattan,Upper West Side,Entire home/apt,1,0,,1,0,0,150
Manhattan,Chelsea,Private room,3,6,0.1,1,11,1,90
Brooklyn,Crown Heights,Private room,1,58,2.74,1,37,1,100
Manhattan,Harlem,Entire home/apt,2,5,2.88,1,0,1,99
Queens,Richmond Hill,Entire home/apt,2,31,1.65,2,62,1,125
Queens,Flushing,Private room,1,4,4.0,6,364,1,99
Queens,Astoria,Private room,1,6,1.96,1,31,1,65
Brooklyn,Flatbush,Private room,2,4,0.07,1,0,1,50
Manhattan,Hell's Kitchen,Entire home/apt,2,83,1.01,1,105,1,160
Brooklyn,Williamsburg,Shared room,1,0,,1,0,0,130
Queens,Astoria,Shared room,30,2,0.11,1,0,1,40
Manhattan,Kips Bay,Entire home/apt,2,2,0.21,1,0,1,250
Manhattan,Chelsea,Entire home/apt,2,11,0.19,1,137,1,300
Staten Island,Dongan Hills,Private room,1,7,2.66,3,310,1,37
Brooklyn,Williamsburg,Entire home/apt,2,95,5.02,1,67,1,220
Manhattan,Upper East Side,Entire home/apt,3,1,0.05,1,5,1,350
Brooklyn,Williamsburg,Private room,1,33,6.92,4,0,1,70
Queens,Rockaway Beach,Entire home/apt,2,13,1.54,1,73,1,65
Brooklyn,Williamsburg,Entire home/apt,15,0,,1,0,0,200
Brooklyn,Midwood,Private room,30,0,,1,252,0,120
Brooklyn,Gravesend,Private room,2,7,0.22,1,318,1,40
Brooklyn,Prospect-Lefferts Gardens,Private room,7,34,0.39,1,332,1,92
Brooklyn,Williamsburg,Private room,1,0,,1,83,0,10
Brooklyn,Flatbush,Private room,10,11,0.19,1,0,1,54
Queens,Briarwood,Private room,2,38,1.53,6,365,1,60
Manhattan,Financial District,Entire home/apt,30,3,0.08,96,311,1,175
Queens,Ditmars Steinway,Private room,2,4,0.64,1,89,1,70
Manhattan,East Harlem,Entire home/apt,1,0,,1,11,0,102
Brooklyn,Fort Greene,Private room,1,1,0.06,1,0,1,47
Queens,South Ozone Park,Private room,10,7,0.27,4,197,1,75
Queens,Woodside,Entire home/apt,3,4,0.61,1,0,1,80
Brooklyn,Williamsburg,Entire home/apt,2,19,1.82,1,11,1,120
Brooklyn,Williamsburg,Private room,2,5,0.13,1,0,1,62
Manhattan,Hell's Kitchen,Entire home/apt,2,18,0.45,2,63,1,170
Queens,Jackson Heights,Private room,2,55,2.31,1,318,1,62
Manhattan,Greenwich Village,Entire home/apt,2,2,0.04,1,0,1,165
Manhattan,Harlem,Entire home/apt,15,2,0.04,1,0,1,77
Brooklyn,Prospect-Lefferts Gardens,Private room,2,11,9.17,2,44,1,55
Brooklyn,Bedford-Stuyvesant,Private room,30,0,,27,332,0,42
Brooklyn,Bedford-Stuyvesant,Private room,4,3,0.35,2,157,1,52
Brooklyn,Williamsburg,Entire home/apt,7,4,0.07,1,0,1,50
Queens,Woodside,Private room,3,1,0.03,1,0,1,34
Brooklyn,Williamsburg,Private room,2,0,,2,184,0,90
Brooklyn,Clinton Hill,Entire home/apt,3,233,2.5,1,0,1,154
Bronx,Riverdale,Entire home/apt,30,0,,1,55,0,90
Brooklyn,Crown Heights,Private room,30,5,0.28,4,292,1,35
Brooklyn,Crown Heights,Entire home/apt,4,105,2.45,1,9,1,153
Manhattan,West Village,Entire home/apt,1,0,,8,72,0,89
Brooklyn,Greenpoint,Entire home/apt,4,18,0.39,1,30,1,140
Manhattan,Greenwich Village,Private room,25,70,1.27,1,31,1,115
Manhattan,Upper East Side,Entire home/apt,2,5,0.08,1,0,1,175
Queens,Astoria,Private room,7,0,,1,0,0,80
Queens,Astoria,Private room,2,3,0.13,1,0,1,60
Brooklyn,Windsor Terrace,Entire home/apt,3,37,1.95,1,71,1,160
Manhattan,Hell's Kitchen,Entire home/apt,30,3,0.12,31,326,1,115
Manhattan,Financial District,Entire home/apt,29,0,,327,325,0,100
Manhattan,East Village,Private room,1,24,1.79,2,91,1,100
Manhattan,East Village,Private room,3,11,0.33,1,0,1,99
Queens,Long Island City,Private room,7,39,0.48,1,46,1,55
Queens,Jamaica,Private room,2,0,,4,179,0,80
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,1,44,0.8,1,0,1,139
Brooklyn,Williamsburg,Private room,5,4,0.56,1,12,1,50
Queens,St. Albans,Private room,1,16,1.78,4,137,1,50
Manhattan,Harlem,Entire home/apt,1,3,0.05,1,0,1,150
Queens,Astoria,Entire home/apt,2,135,3.8,1,168,1,135
Brooklyn,Flatbush,Private room,10,9,0.26,1,90,1,45
Manhattan,Lower East Side,Private room,4,0,,1,0,0,90
Brooklyn,Gowanus,Entire home/apt,30,118,3.53,1,265,1,400
Brooklyn,Bushwick,Entire home/apt,3,7,0.42,1,38,1,110
Brooklyn,Bushwick,Private room,7,2,0.04,1,0,1,80
Brooklyn,Flatbush,Private room,2,2,0.08,1,0,1,60
Manhattan,Harlem,Entire home/apt,1,3,0.38,2,365,1,200
Manhattan,Gramercy,Entire home/apt,7,0,,1,29,0,150
Manhattan,Midtown,Entire home/apt,1,0,,9,339,0,299
Queens,Astoria,Private room,2,2,0.04,1,0,1,85
Queens,Long Island City,Entire home/apt,3,2,0.32,1,3,1,150
Bronx,Woodlawn,Shared room,2,2,0.11,2,0,1,70
Brooklyn,Bay Ridge,Entire home/apt,3,39,4.5,1,8,1,80
Manhattan,Hell's Kitchen,Entire home/apt,3,0,,1,218,0,399
Queens,Elmhurst,Private room,1,15,4.84,2,135,1,30
Manhattan,Nolita,Entire home/apt,1,1,0.05,1,0,1,200
Manhattan,Hell's Kitchen,Private room,1,21,10.86,5,299,1,390
Manhattan,Midtown,Entire home/apt,2,14,1.95,13,279,1,240
Brooklyn,Greenpoint,Private room,1,12,0.97,1,0,1,85
Manhattan,Hell's Kitchen,Entire home/apt,1,2,2.0,1,81,1,200
Brooklyn,Williamsburg,Private room,7,0,,1,0,0,45
Brooklyn,Bushwick,Entire home/apt,3,5,0.39,1,0,1,95
Manhattan,Upper East Side,Entire home/apt,8,0,,1,39,0,250
Brooklyn,Williamsburg,Private room,1,0,,1,0,0,100
Brooklyn,Bedford-Stuyvesant,Entire home/apt,4,7,0.65,1,0,1,150
Brooklyn,Clinton Hill,Private room,3,0,,2,179,0,59
Brooklyn,Williamsburg,Entire home/apt,7,2,0.03,1,0,1,275
Queens,Woodside,Entire home/apt,1,95,5.63,2,0,1,50
Manhattan,SoHo,Entire home/apt,2,22,0.66,2,333,1,360
Brooklyn,Greenpoint,Entire home/apt,5,0,,2,64,0,205
Manhattan,Washington Heights,Private room,2,3,0.08,1,0,1,45
Manhattan,Kips Bay,Entire home/apt,1,4,4.0,1,265,1,349
Brooklyn,Prospect Heights,Private room,1,4,0.15,1,0,1,74
Queens,East Elmhurst,Private room,1,218,6.91,1,153,1,50
Brooklyn,Crown Heights,Private room,3,29,0.85,1,67,1,75
Manhattan,East Village,Private room,3,0,,1,0,0,165
Manhattan,East Harlem,Entire home/apt,6,4,0.06,1,0,1,120
Manhattan,East Harlem,Entire home/apt,3,1,1.0,3,302,1,300
Brooklyn,Crown Heights,Private room,3,7,0.31,1,249,1,50
Manhattan,Harlem,Entire home/apt,31,49,3.51,4,119,1,85
Manhattan,Upper East Side,Entire home/apt,5,0,,1,77,0,220
Manhattan,Roosevelt Island,Entire home/apt,1,76,5.3,1,60,1,220
Manhattan,SoHo,Entire home/apt,3,26,1.81,1,42,1,185
Brooklyn,Brooklyn Heights,Entire home/apt,180,0,,1,365,0,100
Brooklyn,Kensington,Private room,3,8,0.17,1,0,1,70
Brooklyn,Crown Heights,Entire home/apt,2,11,0.24,1,0,1,100
Manhattan,Midtown,Private room,3,2,0.25,1,0,1,115
Manhattan,Gramercy,Entire home/apt,2,20,1.17,3,20,1,200
Manhattan,Hell's Kitchen,Entire home/apt,29,0,,327,334,0,189
Manhattan,Harlem,Entire home/apt,4,32,1.02,1,39,1,130
Brooklyn,Bushwick,Private room,2,5,0.15,1,0,1,90
Manhattan,Chinatown,Entire home/apt,2,5,2.94,1,298,1,200
Brooklyn,Greenpoint,Entire home/apt,30,1,0.07,52,340,1,129
Brooklyn,Fort Hamilton,Entire home/apt,5,1,0.16,1,23,1,98
Manhattan,Washington Heights,Private room,1,18,1.34,6,38,1,81
Manhattan,East Village,Entire home/apt,3,12,0.21,1,4,1,230
Queens,Astoria,Entire home/apt,5,2,0.41,1,0,1,75
Brooklyn,Bushwick,Private room,7,0,,1,0,0,60
Manhattan,Upper West Side,Private room,1,64,4.76,4,22,1,35
Brooklyn,Flatbush,Private room,5,2,0.32,1,0,1,60
Manhattan,East Village,Entire home/apt,1,1,0.02,1,0,1,275
Queens,Jamaica,Private room,1,0,,18,362,0,165
Manhattan,SoHo,Shared room,1,51,1.48,4,82,1,100
Brooklyn,Gowanus,Entire home/apt,3,106,1.22,1,189,1,138
Brooklyn,Bushwick,Private room,1,74,2.42,3,53,1,49
Brooklyn,Bedford-Stuyvesant,Private room,30,21,2.05,3,365,1,65
Manhattan,Chelsea,Entire home/apt,1,12,1.29,1,0,1,150
Brooklyn,Bushwick,Entire home/apt,2,2,0.3,5,347,1,125
Brooklyn,Cobble Hill,Entire home/apt,2,55,5.32,1,30,1,195
Manhattan,Gramercy,Entire home/apt,30,0,,33,364,0,216
Bronx,Concourse,Private room,5,6,0.52,1,188,1,38
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,9,10,0.24,1,0,1,125
Brooklyn,Bay Ridge,Private room,365,1,0.14,4,189,1,85
Manhattan,East Harlem,Private room,1,38,0.6,4,106,1,79
Brooklyn,Bushwick,Private room,1,0,,1,83,0,130
Brooklyn,Bedford-Stuyvesant,Private room,6,8,1.1,2,144,1,60
Queens,Sunnyside,Entire home/apt,30,10,0.28,3,332,1,90
Brooklyn,Bedford-Stuyvesant,Entire home/apt,2,40,0.68,1,0,1,300
Bronx,Concourse Village,Private room,5,61,3.8,1,130,1,47
Bronx,Mott Haven,Private room,5,7,1.08,4,321,1,42
Manhattan,Hell's Kitchen,Entire home/apt,2,3,0.18,1,0,1,350
Manhattan,East Harlem,Entire home/apt,14,2,0.6,3,3,1,95
Brooklyn,Bedford-Stuyvesant,Private room,2,1,0.05,1,0,1,35
Manhattan,Tribeca,Entire home/apt,3,3,0.33,1,17,1,295
Brooklyn,Williamsburg,Entire home/apt,2,132,3.14,1,257,1,370
Brooklyn,Bushwick,Private room,2,76,4.03,1,234,1,60
Manhattan,Harlem,Entire home/apt,3,35,1.36,2,40,1,85
Brooklyn,Crown Heights,Entire home/apt,3,31,0.32,1,193,1,97
Brooklyn,Bedford-Stuyvesant,Private room,4,0,,1,0,0,35
Brooklyn,Fort Greene,Private room,1,55,4.16,1,342,1,100
Manhattan,Lower East Side,Private room,2,46,1.45,5,341,1,78
Brooklyn,Crown Heights,Private room,2,17,2.52,1,14,1,45
Brooklyn,Williamsburg,Private room,4,2,0.04,1,0,1,75
Queens,Ozone Park,Entire home/apt,4,0,,1,0,0,69
Brooklyn,Sunset Park,Entire home/apt,12,8,0.13,2,7,1,121
Manhattan,Lower East Side,Entire home/apt,5,6,0.47,1,0,1,230
Brooklyn,Flatbush,Private room,1,7,0.85,1,133,1,75
Manhattan,Chinatown,Entire home/apt,4,0,,1,36,0,146
Manhattan,Harlem,Private room,31,1,0.03,4,64,1,69
Manhattan,Nolita,Entire home/apt,2,28,3.98,1,0,1,250
Manhattan,Harlem,Private room,1,0,,2,39,0,100
Brooklyn,Bedford-Stuyvesant,Entire home/apt,2,21,0.53,1,304,1,335
Brooklyn,Crown Heights,Entire home/apt,2,16,0.68,2,0,1,100
Queens,Jamaica,Private room,2,0,,4,179,0,100
Manhattan,Upper East Side,Entire home/apt,3,37,1.04,1,0,1,150
Manhattan,Financial District,Entire home/apt,3,2,2.0,1,339,1,189
Brooklyn,Windsor Terrace,Entire home/apt,29,16,0.26,1,217,1,130
Manhattan,East Village,Private room,2,15,4.84,4,284,1,62
Brooklyn,Midwood,Private room,7,1,0.01,1,87,1,68
Brooklyn,Greenpoint,Entire home/apt,4,26,0.57,1,0,1,100
Queens,Elmhurst,Private room,2,0,,1,358,0,130
Brooklyn,Williamsburg,Entire home/apt,30,19,0.26,1,59,1,160
Brooklyn,Crown Heights,Private room,2,0,,1,0,0,80
Brooklyn,Crown Heights,Shared room,5,7,3.33,4,14,1,24
Brooklyn,Williamsburg,Entire home/apt,4,9,0.26,1,9,1,200
Manhattan,East Harlem,Private room,1,16,1.15,2,345,1,80
Manhattan,East Village,Private room,3,0,,1,9,0,66
Manhattan,Hell's Kitchen,Private room,1,61,7.5,6,283,1,145
Brooklyn,Park Slope,Entire home/apt,4,31,0.86,1,254,1,175
Manhattan,Washington Heights,Private room,3,1,1.0,1,112,1,80
Manhattan,Harlem,Entire home/apt,1,8,2.58,1,53,1,165
Brooklyn,Bedford-Stuyvesant,Private room,2,13,1.19,34,330,1,55
Manhattan,Midtown,Entire home/apt,1,8,1.13,1,29,1,185
Manhattan,SoHo,Entire home/apt,3,1,0.12,1,363,1,249
Brooklyn,Bushwick,Entire home/apt,1,0,,1,0,0,190
Brooklyn,Bushwick,Private room,14,0,,1,0,0,26
